"Date","pH","Dissolved_Oxygen_mg_L","Turbidity_NTU","Temperature_C"
2024-01-01,7.07515504024923,4.6175480959937,1.80121881782543,13.2744865259156
2024-01-02,8.07661027088761,9.39894982241094,1.16201141290367,12.3769090184942
2024-01-03,7.3179538436234,5.47652640612796,4.83360904641449,8.04889495484531
2024-01-04,8.26603480800986,4.25235720118508,4.56034570303746,7.7761212689802
2024-01-05,8.38093456858769,5.96752431569621,3.60817375290208,9.66068198904395
2024-01-06,6.59111299877986,9.72702189488336,4.0796033795923,14.3192490050569
2024-01-07,7.55621097609401,9.33723589638248,0.610761580290273,10.3194528073072
2024-01-08,8.28483808878809,8.1568204369396,2.65008186991327,22.1565543068573
2024-01-09,7.60287002893165,7.84304088260978,3.9130679188529,5.91662333346903
2024-01-10,7.41322947060689,9.96561865974218,1.47383571125101,13.8440014841035
2024-01-11,8.41366669069976,7.93423479469493,1.93181453435682,20.9784969128668
2024-01-12,7.40666831238195,8.25118280900642,1.54231603408698,7.4379851995036
2024-01-13,7.85514127090573,7.26439614826813,1.1426001007203,16.2189596751705
2024-01-14,7.64526680391282,7.56485212268308,2.36545851116534,9.1306277923286
